image_location,split,is_duplicate,duplicate_of
data/training_data/training_data/0.png,train,False,
data/training_data/training_data/10.png,train,False,
data/training_data/training_data/100.png,train,False,
data/training_data/training_data/1000.png,train,False,
data/training_data/training_data/10000.png,train,False,
data/training_data/training_data/10001.png,train,False,
data/training_data/training_data/10002.png,train,False,
data/training_data/training_data/10003.png,train,False,
data/training_data/training_data/10004.png,train,False,
data/training_data/training_data/10005.png,train,False,
data/training_data/training_data/10006.png,train,False,
data/training_data/training_data/10007.png,train,False,
data/training_data/training_data/10008.png,train,False,
data/training_data/training_data/10009.png,train,False,
data/training_data/training_data/1001.png,train,False,
data/training_data/training_data/10010.png,train,False,
data/training_data/training_data/10011.png,train,False,
data/training_data/training_data/10012.png,train,False,
data/training_data/training_data/10013.png,train,False,
data/training_data/training_data/10014.png,train,False,
data/training_data/training_data/10015.png,train,False,
data/training_data/training_data/10016.png,train,False,
data/training_data/training_data/10017.png,train,False,
data/training_data/training_data/10018.png,train,False,
data/training_data/training_data/10019.png,train,False,
data/training_data/training_data/1002.png,train,False,
data/training_data/training_data/10020.png,train,False,
data/training_data/training_data/10021.png,train,False,
data/training_data/training_data/10022.png,train,False,
data/training_data/training_data/10023.png,train,False,
data/training_data/training_data/10024.png,train,False,
data/training_data/training_data/10025.png,train,False,
data/training_data/training_data/10026.png,train,False,
data/training_data/training_data/10027.png,train,False,
data/training_data/training_data/10028.png,train,False,
data/training_data/training_data/10029.png,train,False,
data/training_data/training_data/1003.png,train,False,
data/training_data/training_data/10030.png,train,False,
data/training_data/training_data/10031.png,train,False,
data/training_data/training_data/10032.png,train,False,
data/training_data/training_data/10033.png,train,False,
data/training_data/training_data/10034.png,train,False,
data/training_data/training_data/10035.png,train,False,
data/training_data/training_data/10036.png,train,False,
data/training_data/training_data/10037.png,train,False,
data/training_data/training_data/10038.png,train,False,
data/training_data/training_data/10039.png,train,False,
data/training_data/training_data/1004.png,train,False,
data/training_data/training_data/10040.png,train,False,
data/training_data/training_data/10041.png,train,False,
data/training_data/training_data/10042.png,train,False,
data/training_data/training_data/10043.png,train,False,
data/training_data/training_data/10044.png,train,False,
data/training_data/training_data/10045.png,train,False,
data/training_data/training_data/10046.png,train,False,
data/training_data/training_data/10047.png,train,False,
data/training_data/training_data/10048.png,train,False,
data/training_data/training_data/10049.png,train,False,
data/training_data/training_data/1005.png,train,False,
data/training_data/training_data/10050.png,train,False,
data/training_data/training_data/10051.png,train,False,
data/training_data/training_data/10052.png,train,False,
data/training_data/training_data/10053.png,train,False,
data/training_data/training_data/10054.png,train,False,
data/training_data/training_data/10055.png,train,False,
data/training_data/training_data/10056.png,train,False,
data/training_data/training_data/10057.png,train,False,
data/training_data/training_data/10058.png,train,False,
data/training_data/training_data/10059.png,train,False,
data/training_data/training_data/1006.png,train,False,
data/training_data/training_data/10060.png,train,False,
data/training_data/training_data/10061.png,train,False,
data/training_data/training_data/10062.png,train,False,
data/training_data/training_data/10063.png,train,False,
data/training_data/training_data/10064.png,train,False,
data/training_data/training_data/10065.png,train,False,
data/training_data/training_data/10066.png,train,False,
data/training_data/training_data/10067.png,train,False,
data/training_data/training_data/10068.png,train,False,
data/training_data/training_data/10069.png,train,False,
data/training_data/training_data/1007.png,train,False,
data/training_data/training_data/10070.png,train,False,
data/training_data/training_data/10071.png,train,False,
data/training_data/training_data/10072.png,train,False,
data/training_data/training_data/10073.png,train,False,
data/training_data/training_data/10074.png,train,False,
data/training_data/training_data/10075.png,train,False,
data/training_data/training_data/10076.png,train,False,
data/training_data/training_data/10077.png,train,False,
data/training_data/training_data/10078.png,train,False,
data/training_data/training_data/10079.png,train,False,
data/training_data/training_data/1008.png,train,False,
data/training_data/training_data/10080.png,train,False,
data/training_data/training_data/10081.png,train,False,
data/training_data/training_data/10082.png,train,False,
data/training_data/training_data/10083.png,train,False,
data/training_data/training_data/10084.png,train,False,
data/training_data/training_data/10085.png,train,False,
data/training_data/training_data/10086.png,train,False,
data/training_data/training_data/10087.png,train,False,
data/training_data/training_data/10088.png,train,False,
data/training_data/training_data/10089.png,train,False,
data/training_data/training_data/1009.png,train,False,
data/training_data/training_data/10090.png,train,False,
data/training_data/training_data/10091.png,train,False,
data/training_data/training_data/10092.png,train,False,
data/training_data/training_data/10093.png,train,False,
data/training_data/training_data/10094.png,train,False,
data/training_data/training_data/10095.png,train,False,
data/training_data/training_data/10096.png,train,False,
data/training_data/training_data/10097.png,train,False,
